bundle_name,card_index,data_amount,description,list_item_index,package_type,price,scrape_method,source_page,speed,title,validity
4G,43,Up,Data BundleUp4GUnlimited DataUp to 8Mbps speed,,postpaid,Monthly RentalRs.7090Startup Fee:Rs.500,playwright,Regular Broadband Packages,8Mbps,LTE Unlimited 8,
ADSL,44,Up,Data BundleUpADSLUnlimited DataUp to 8Mbps speed,,postpaid,Monthly RentalRs.7490Startup Fee:Rs.500,playwright,Regular Broadband Packages,8Mbps,ADSL Unlimited 8,
4G,45,400GB,Data Bundle400GB4GAnytime Data400GB,,postpaid,Monthly RentalRs.7990Startup Fee:Rs.7990,playwright,Regular Broadband Packages,,HBB Anytime 400GB,
Fibre,46,Daily,Data BundleDailyFibreUnlimited DataDaily 25GB up to 300Mbps (Thereafter 1Mbps),,postpaid,Monthly RentalRs.10390Startup Fee:Rs.500,playwright,Regular Broadband Packages,300Mbps,Fibre Unlimited Flash 25,
Fibre,47,100,Data Bundle100FibreUnlimited Data100 Mbps/ 50 Mbps + Unlimited Calls,,postpaid,Monthly RentalRs.7900Startup Fee:Rs.0,playwright,Regular Broadband Packages,100 Mbps,Speed-based Fibre Unlimited Family,
Fibre,48,300,Data Bundle300FibreUnlimited Data300 Mbps/100 Mbps + Unlimited Calls,,postpaid,Monthly RentalRs.14900Startup Fee:Rs.0,playwright,Regular Broadband Packages,300 Mbps,Speed-based Fibre Unlimited Boost,
Fibre,49,600,Data Bundle600FibreUnlimited Data600 Mbps/200 Mbps + Unlimited Calls,,postpaid,Monthly RentalRs.27900Startup Fee:Rs.0,playwright,Regular Broadband Packages,600 Mbps,Speed-based Fibre Unlimited Blast,
Fibre,50,1000,Data Bundle1000FibreUnlimited Data1000 Mbps/300 Mbps + Unlimited Calls,,postpaid,Monthly RentalRs.39900Startup Fee:Rs.0,playwright,Regular Broadband Packages,1000 Mbps,Speed-based Fibre Unlimited Turbo,
Fibre,51,200GB,Data Bundle200GBFibreAnytime Data200GB per day + unlimited Entertainment Bundle + Unlimited Calls,,postpaid,Monthly RentalRs.75000Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Ultra Flash Prime,
Fibre,52,5TB,Data Bundle5TBFibreAnytime Data5TB + unlimited Entertainment Bundle + Unlimited Calls,,postpaid,Monthly RentalRs.75000Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Ultra Prime,
Fibre,53,40GB,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,54,,Monthly Rental,,postpaid,Monthly RentalRs.3530,playwright,Regular Broadband Packages,,Rs.3530,
,56,,Monthly Rental,,postpaid,Monthly RentalRs.4100,playwright,Regular Broadband Packages,,Rs.4100,
Fibre,57,100,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,58,,Monthly Rental,,postpaid,Monthly RentalRs.4950,playwright,Regular Broadband Packages,,Rs.4950,
4G,59,50GB,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,60,,Monthly Rental,,postpaid,Monthly RentalRs.1290,playwright,Regular Broadband Packages,,Rs.1290,
ADSL,61,36,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,62,,Monthly Rental,,postpaid,Monthly RentalRs.1550,playwright,Regular Broadband Packages,,Rs.1550,
4G,63,85GB,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,64,,Monthly Rental,,postpaid,Monthly RentalRs.1890,playwright,Regular Broadband Packages,,Rs.1890,
Fibre,65,58,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,66,,Monthly Rental,,postpaid,Monthly RentalRs.2150,playwright,Regular Broadband Packages,,Rs.2150,
4G,67,Daily,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,68,,Monthly Rental,,postpaid,Monthly RentalRs.2350,playwright,Regular Broadband Packages,,Rs.2350,
4G,69,115GB,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,70,,Monthly Rental,,postpaid,Monthly RentalRs.2590,playwright,Regular Broadband Packages,,Rs.2590,
4G,71,Up,,,postpaid,,playwright,Regular Broadband Packages,2Mbps,Data Bundle,
,72,,Monthly Rental,,postpaid,Monthly RentalRs.2950,playwright,Regular Broadband Packages,,Rs.2950,
Fibre,73,120,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,74,,Monthly Rental,,postpaid,Monthly RentalRs.3890,playwright,Regular Broadband Packages,,Rs.3890,
4G,75,200GB,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,76,,Monthly Rental,,postpaid,Monthly RentalRs.3990,playwright,Regular Broadband Packages,,Rs.3990,
4G,77,Daily,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,78,,Monthly Rental,,postpaid,Monthly RentalRs.4090,playwright,Regular Broadband Packages,,Rs.4090,
4G,79,Up,,,postpaid,,playwright,Regular Broadband Packages,4Mbps,Data Bundle,
,80,,Monthly Rental,,postpaid,Monthly RentalRs.5150,playwright,Regular Broadband Packages,,Rs.5150,
ADSL,81,Up,,,postpaid,,playwright,Regular Broadband Packages,4Mbps,Data Bundle,
,82,,Monthly Rental,,postpaid,Monthly RentalRs.5790,playwright,Regular Broadband Packages,,Rs.5790,
Fibre,83,Daily,,,postpaid,,playwright,Regular Broadband Packages,300Mbps,Data Bundle,
,84,,Monthly Rental,,postpaid,Monthly RentalRs.5990,playwright,Regular Broadband Packages,,Rs.5990,
4G,85,Up,,,postpaid,,playwright,Regular Broadband Packages,8Mbps,Data Bundle,
,86,,Monthly Rental,,postpaid,Monthly RentalRs.7090,playwright,Regular Broadband Packages,,Rs.7090,
ADSL,87,Up,,,postpaid,,playwright,Regular Broadband Packages,8Mbps,Data Bundle,
,88,,Monthly Rental,,postpaid,Monthly RentalRs.7490,playwright,Regular Broadband Packages,,Rs.7490,
4G,89,400GB,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,90,,Monthly Rental,,postpaid,Monthly RentalRs.7990,playwright,Regular Broadband Packages,,Rs.7990,
Fibre,91,Daily,,,postpaid,,playwright,Regular Broadband Packages,300Mbps,Data Bundle,
,92,,Monthly Rental,,postpaid,Monthly RentalRs.10390,playwright,Regular Broadband Packages,,Rs.10390,
Fibre,93,100,,,postpaid,,playwright,Regular Broadband Packages,100 Mbps,Data Bundle,
,94,,Monthly Rental,,postpaid,Monthly RentalRs.7900,playwright,Regular Broadband Packages,,Rs.7900,
Fibre,95,300,,,postpaid,,playwright,Regular Broadband Packages,300 Mbps,Data Bundle,
,96,,Monthly Rental,,postpaid,Monthly RentalRs.14900,playwright,Regular Broadband Packages,,Rs.14900,
Fibre,97,600,,,postpaid,,playwright,Regular Broadband Packages,600 Mbps,Data Bundle,
,98,,Monthly Rental,,postpaid,Monthly RentalRs.27900,playwright,Regular Broadband Packages,,Rs.27900,
Fibre,99,1000,,,postpaid,,playwright,Regular Broadband Packages,1000 Mbps,Data Bundle,
,100,,Monthly Rental,,postpaid,Monthly RentalRs.39900,playwright,Regular Broadband Packages,,Rs.39900,
Fibre,101,200GB,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
,102,,Monthly Rental,,postpaid,Monthly RentalRs.75000,playwright,Regular Broadband Packages,,Rs.75000,
Fibre,103,5TB,,,postpaid,,playwright,Regular Broadband Packages,,Data Bundle,
Fibre,104,40GB,Data Bundle40GBFibreAnytime Data40GB,,postpaid,Monthly RentalRs.3530Startup Fee:Rs.500,playwright,Regular Broadband Packages,2Mbps,Trio Vibe,
Fibre,105,40GB,Data Bundle40GBFibreAnytime Data40GB,,postpaid,Monthly RentalRs.3530Startup Fee:Rs.500,playwright,Regular Broadband Packages,2Mbps,Trio Vibe,
,106,,Monthly Rental,,postpaid,Rs.3530,playwright,Regular Broadband Packages,,Rs.3530,
,107,,Startup Fee:,,postpaid,Rs.500,playwright,Regular Broadband Packages,,Rs.500,
,108,,Monthly Rental,,postpaid,Rs.4100,playwright,Regular Broadband Packages,,Rs.4100,
,109,,Monthly Rental,,postpaid,Rs.4950,playwright,Regular Broadband Packages,,Rs.4950,
,110,,Monthly Rental,,postpaid,Rs.1290,playwright,Regular Broadband Packages,,Rs.1290,
,111,,Startup Fee:,,postpaid,Rs.1290,playwright,Regular Broadband Packages,,Rs.1290,
,112,,Monthly Rental,,postpaid,Rs.1550,playwright,Regular Broadband Packages,,Rs.1550,
,113,,Monthly Rental,,postpaid,Rs.1890,playwright,Regular Broadband Packages,,Rs.1890,
,114,,Startup Fee:,,postpaid,Rs.1890,playwright,Regular Broadband Packages,,Rs.1890,
,115,,Monthly Rental,,postpaid,Rs.2150,playwright,Regular Broadband Packages,,Rs.2150,
,116,,Monthly Rental,,postpaid,Rs.2350,playwright,Regular Broadband Packages,,Rs.2350,
,117,,Monthly Rental,,postpaid,Rs.2590,playwright,Regular Broadband Packages,,Rs.2590,
,118,,Startup Fee:,,postpaid,Rs.2590,playwright,Regular Broadband Packages,,Rs.2590,
,119,,Monthly Rental,,postpaid,Rs.2950,playwright,Regular Broadband Packages,,Rs.2950,
,120,,Monthly Rental,,postpaid,Rs.3890,playwright,Regular Broadband Packages,,Rs.3890,
,121,,Monthly Rental,,postpaid,Rs.3990,playwright,Regular Broadband Packages,,Rs.3990,
,122,,Startup Fee:,,postpaid,Rs.3990,playwright,Regular Broadband Packages,,Rs.3990,
,123,,Monthly Rental,,postpaid,Rs.4090,playwright,Regular Broadband Packages,,Rs.4090,
,124,,Monthly Rental,,postpaid,Rs.5150,playwright,Regular Broadband Packages,,Rs.5150,
,125,,Monthly Rental,,postpaid,Rs.5790,playwright,Regular Broadband Packages,,Rs.5790,
,126,,Monthly Rental,,postpaid,Rs.5990,playwright,Regular Broadband Packages,,Rs.5990,
,127,,Monthly Rental,,postpaid,Rs.7090,playwright,Regular Broadband Packages,,Rs.7090,
,128,,Monthly Rental,,postpaid,Rs.7490,playwright,Regular Broadband Packages,,Rs.7490,
,129,,Monthly Rental,,postpaid,Rs.7990,playwright,Regular Broadband Packages,,Rs.7990,
,130,,Startup Fee:,,postpaid,Rs.7990,playwright,Regular Broadband Packages,,Rs.7990,
,131,,Monthly Rental,,postpaid,Rs.10390,playwright,Regular Broadband Packages,,Rs.10390,
,132,,Monthly Rental,,postpaid,Rs.7900,playwright,Regular Broadband Packages,,Rs.7900,
,133,,Startup Fee:,,postpaid,Rs.0,playwright,Regular Broadband Packages,,Rs.0,
,134,,Monthly Rental,,postpaid,Rs.14900,playwright,Regular Broadband Packages,,Rs.14900,
,135,,Monthly Rental,,postpaid,Rs.27900,playwright,Regular Broadband Packages,,Rs.27900,
,136,,Monthly Rental,,postpaid,Rs.39900,playwright,Regular Broadband Packages,,Rs.39900,
,137,,Monthly Rental,,postpaid,Rs.75000,playwright,Regular Broadband Packages,,Rs.75000,
4G Prepaid,1,5GB,Data Bundle5GB4G PrepaidAnytime Data5GB,,prepaid,Reload/Top-up amountRs.155Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 155 (7 Days),7 Days
4G Prepaid,2,10GB,Data Bundle10GB4G PrepaidAnytime Data10GB,,prepaid,Reload/Top-up amountRs.295Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 295 (14 Days),14 Days
4G Prepaid,3,20GB,Data Bundle20GB4G PrepaidAnytime Data20GB,,prepaid,Reload/Top-up amountRs.535Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 535 (30 Days),30 Days
4G Prepaid,4,35GB,Data Bundle35GB4G PrepaidAnytime Data35GB,,prepaid,Reload/Top-up amountRs.899Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 899 (30 Days),30 Days
4G Prepaid,5,75GB,Data Bundle75GB4G PrepaidAnytime Data75GB,,prepaid,Reload/Top-up amountRs.1899Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 1899 (30 Days),30 Days
4G Prepaid,6,5GB,Data Bundle5GB4G PrepaidAnytime Data5GB,,prepaid,Reload/Top-up amountRs.155Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 155 (7 Days),7 Days
4G Prepaid,7,10GB,Data Bundle10GB4G PrepaidAnytime Data10GB,,prepaid,Reload/Top-up amountRs.295Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 295 (14 Days),14 Days
4G Prepaid,8,20GB,Data Bundle20GB4G PrepaidAnytime Data20GB,,prepaid,Reload/Top-up amountRs.535Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 535 (30 Days),30 Days
4G Prepaid,9,35GB,Data Bundle35GB4G PrepaidAnytime Data35GB,,prepaid,Reload/Top-up amountRs.899Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 899 (30 Days),30 Days
4G Prepaid,10,75GB,Data Bundle75GB4G PrepaidAnytime Data75GB,,prepaid,Reload/Top-up amountRs.1899Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 1899 (30 Days),30 Days
4G Prepaid,11,5GB,,,prepaid,,playwright,Prepaid Broadband Packages,,Data Bundle,
,12,,Reload/Top-up amount,,prepaid,Reload/Top-up amountRs.155,playwright,Prepaid Broadband Packages,,Rs.155,
4G Prepaid,14,10GB,,,prepaid,,playwright,Prepaid Broadband Packages,,Data Bundle,
,15,,Reload/Top-up amount,,prepaid,Reload/Top-up amountRs.295,playwright,Prepaid Broadband Packages,,Rs.295,
4G Prepaid,16,20GB,,,prepaid,,playwright,Prepaid Broadband Packages,,Data Bundle,
,17,,Reload/Top-up amount,,prepaid,Reload/Top-up amountRs.535,playwright,Prepaid Broadband Packages,,Rs.535,
4G Prepaid,18,35GB,,,prepaid,,playwright,Prepaid Broadband Packages,,Data Bundle,
,19,,Reload/Top-up amount,,prepaid,Reload/Top-up amountRs.899,playwright,Prepaid Broadband Packages,,Rs.899,
4G Prepaid,20,75GB,,,prepaid,,playwright,Prepaid Broadband Packages,,Data Bundle,
,21,,Reload/Top-up amount,,prepaid,Reload/Top-up amountRs.1899,playwright,Prepaid Broadband Packages,,Rs.1899,
4G Prepaid,22,5GB,Data Bundle5GB4G PrepaidAnytime Data5GB,,prepaid,Reload/Top-up amountRs.155Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 155 (7 Days),7 Days
4G Prepaid,23,5GB,Data Bundle5GB4G PrepaidAnytime Data5GB,,prepaid,Reload/Top-up amountRs.155Startup Fee:Rs.,playwright,Prepaid Broadband Packages,,4G LTE – HBB Anytime – 155 (7 Days),7 Days
,24,,Reload/Top-up amount,,prepaid,Rs.155,playwright,Prepaid Broadband Packages,,Rs.155,
,25,,Startup Fee:,,prepaid,,playwright,Prepaid Broadband Packages,,Rs.,
,26,,Reload/Top-up amount,,prepaid,Rs.295,playwright,Prepaid Broadband Packages,,Rs.295,
,27,,Reload/Top-up amount,,prepaid,Rs.535,playwright,Prepaid Broadband Packages,,Rs.535,
,28,,Reload/Top-up amount,,prepaid,Rs.899,playwright,Prepaid Broadband Packages,,Rs.899,
,29,,Reload/Top-up amount,,prepaid,Rs.1899,playwright,Prepaid Broadband Packages,,Rs.1899,
Connection Charges,,,,198,connection_charges,"Rs.15,000",requests,New Connection Charges,,Migration charge (from Megaline or Fibre) to Speed above 500Mbps Fibre is,
Connection Charges,,,,200,connection_charges,"Rs.7,500",requests,New Connection Charges,,Magaline to Fibre migration charge is .,
Connection Charges,,,,201,connection_charges,Rs.1000,requests,New Connection Charges,,Commitment periods & Early termination fees are as follows- Fibre – Speed Below 500Mbps  - 12 Months commitment &  per remaining months.- Fibre – Speed Above 500Mbps -  24 Months commitment &  per remaining months.,
